_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total commercial,21967659,21967659
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total industrial,3475372,3475372
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total institutional and governmental,5780449,5780449
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total residential,76580066,76580066
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total commercial,20854663,20854663
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total industrial,3299506,3299506
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total institutional and governmental,5488561,5488561
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total residential,72617748,72617748
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total commercial,23132248,23132248
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total industrial,3473164,3473164
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total institutional and governmental,5502269,5502269
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total residential,62996003,62996003
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total commercial,21975636,21975636
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total industrial,3299506,3299506
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total institutional and governmental,5227155,5227155
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total residential,59817023,59817023
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total commercial,21246386,21246386
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total industrial,3250716,3250716
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total institutional and governmental,5816877,5816877
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total residential,80939231,80939231
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total commercial,20190381,20190381
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total industrial,3089650,3089650
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total institutional and governmental,5529179,5529179
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total residential,76857633,76857633
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total commercial,22203304,22203304
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total industrial,3252263,3252263
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total institutional and governmental,5391426,5391426
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total residential,55024153,55024153
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total commercial,21093139,21093139
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total industrial,3089650,3089650
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total institutional and governmental,5121855,5121855
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total residential,52311214,52311214
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total commercial,20544107,20544107
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total industrial,3832811,3832811
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total institutional and governmental,5704725,5704725
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total residential,88911625,88911625
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total commercial,19551270,19551270
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total industrial,3647985,3647985
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total institutional and governmental,5429991,5429991
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total residential,84572442,84572442
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total commercial,20848264,20848264
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total industrial,3839984,3839984
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total institutional and governmental,5018313,5018313
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total residential,56749885,56749885
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total commercial,19805850,19805850
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total industrial,3647985,3647985
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total institutional and governmental,4767397,4767397
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total residential,54034307,54034307
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total commercial,21136134,21136134
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total industrial,2433333,2433333
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total institutional and governmental,5782957,5782957
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total residential,103757965,103757965
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total commercial,20886208,20886208
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total industrial,2405564,2405564
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total institutional and governmental,5719353,5719353
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total residential,101987026,101987026
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total commercial,22354226,22354226
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total industrial,2442197,2442197
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total institutional and governmental,5904128,5904128
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total residential,99383074,99383074
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total commercial,22018913,22018913
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total industrial,2405564,2405564
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total institutional and governmental,5815566,5815566
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total residential,97521825,97521825
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total commercial,21764418,21764418
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total industrial,2703928,2703928
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total institutional and governmental,5485900,5485900
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total residential,105794146,105794146
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total commercial,21578408,21578408
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total industrial,2681149,2681149
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total institutional and governmental,5442020,5442020
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total residential,104098459,104098459
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total commercial,22809730,22809730
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total industrial,2702771,2702771
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total institutional and governmental,5212077,5212077
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total residential,92806038,92806038
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total commercial,22627252,22627252
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total industrial,2681149,2681149
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total institutional and governmental,5170380,5170380
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total residential,91294447,91294447
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total commercial,21467456,21467456
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total industrial,2738610,2738610
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total institutional and governmental,4781817,4781817
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total residential,101879685,101879685
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total commercial,21313316,21313316
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total industrial,2719029,2719029
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total institutional and governmental,4749815,4749815
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total residential,101240204,101240204
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total commercial,22266224,22266224
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total industrial,2740957,2740957
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total institutional and governmental,4419222,4419222
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total residential,78155877,78155877
2012-01-01,2011-02-01,2012-02-01,Unadjusted - current,Total commercial,22088094,22088094
2012-01-01,2011-02-01,2012-02-01,Unadjusted - current,Total industrial,2719029,2719029
2012-01-01,2011-02-01,2012-02-01,Unadjusted - current,Total institutional and governmental,4383869,4383869
2012-01-01,2011-02-01,2012-02-01,Unadjusted - current,Total residential,77706049,77706049
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - constant,Total commercial,21689074,21689074
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - constant,Total industrial,3350521,3350521
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - constant,Total institutional and governmental,6336658,6336658
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - constant,Total residential,101476537,101476537
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - current,Total commercial,21558773,21558773
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - current,Total industrial,3330420,3330420
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - current,Total institutional and governmental,6301378,6301378
2012-02-01,2011-03-01,2012-03-01,Seasonally adjusted - current,Total residential,100900786,100900786
2012-02-01,2011-03-01,2012-03-01,Unadjusted - constant,Total commercial,21877808,21877808
2012-02-01,2011-03-01,2012-03-01,Unadjusted - constant,Total industrial,3357278,3357278
2012-02-01,2011-03-01,2012-03-01,Unadjusted - constant,Total institutional and governmental,5573587,5573587
2012-02-01,2011-03-01,2012-03-01,Unadjusted - constant,Total residential,71461184,71461184
2012-02-01,2011-03-01,2012-03-01,Unadjusted - current,Total commercial,21702785,21702785
2012-02-01,2011-03-01,2012-03-01,Unadjusted - current,Total industrial,3330420,3330420
2012-02-01,2011-03-01,2012-03-01,Unadjusted - current,Total institutional and governmental,5528998,5528998
2012-02-01,2011-03-01,2012-03-01,Unadjusted - current,Total residential,71052336,71052336
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - constant,Total commercial,22497427,22497427
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - constant,Total industrial,3587556,3587556
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - constant,Total institutional and governmental,7360792,7360792
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - constant,Total residential,90202003,90202003
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - current,Total commercial,22373099,22373099
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - current,Total industrial,3567107,3567107
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - current,Total institutional and governmental,7322603,7322603
2012-03-01,2011-04-01,2012-04-01,Seasonally adjusted - current,Total residential,89837816,89837816
2012-03-01,2011-04-01,2012-04-01,Unadjusted - constant,Total commercial,22011426,22011426
2012-03-01,2011-04-01,2012-04-01,Unadjusted - constant,Total industrial,3574256,3574256
2012-03-01,2011-04-01,2012-04-01,Unadjusted - constant,Total institutional and governmental,6447897,6447897
2012-03-01,2011-04-01,2012-04-01,Unadjusted - constant,Total residential,69005340,69005340
2012-03-01,2011-04-01,2012-04-01,Unadjusted - current,Total commercial,21967403,21967403
2012-03-01,2011-04-01,2012-04-01,Unadjusted - current,Total industrial,3567107,3567107
2012-03-01,2011-04-01,2012-04-01,Unadjusted - current,Total institutional and governmental,6435001,6435001
2012-03-01,2011-04-01,2012-04-01,Unadjusted - current,Total residential,68785012,68785012
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - constant,Total commercial,21817897,21817897
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - constant,Total industrial,4258445,4258445
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - constant,Total institutional and governmental,7210933,7210933
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - constant,Total residential,84500067,84500067
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - current,Total commercial,21722511,21722511
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - current,Total industrial,4240415,4240415
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - current,Total institutional and governmental,7183554,7183554
2012-04-01,2011-05-01,2012-05-01,Seasonally adjusted - current,Total residential,84279201,84279201
2012-04-01,2011-05-01,2012-05-01,Unadjusted - constant,Total commercial,20716099,20716099
2012-04-01,2011-05-01,2012-05-01,Unadjusted - constant,Total industrial,4248913,4248913
2012-04-01,2011-05-01,2012-05-01,Unadjusted - constant,Total institutional and governmental,6692273,6692273
2012-04-01,2011-05-01,2012-05-01,Unadjusted - constant,Total residential,82102685,82102685
2012-04-01,2011-05-01,2012-05-01,Unadjusted - current,Total commercial,20674667,20674667
2012-04-01,2011-05-01,2012-05-01,Unadjusted - current,Total industrial,4240415,4240415
2012-04-01,2011-05-01,2012-05-01,Unadjusted - current,Total institutional and governmental,6678888,6678888
2012-04-01,2011-05-01,2012-05-01,Unadjusted - current,Total residential,81896947,81896947
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - constant,Total commercial,21815796,21815796
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - constant,Total industrial,5320602,5320602
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - constant,Total institutional and governmental,7036954,7036954
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - constant,Total residential,93822615,93822615
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - constant,Total commercial,22984495,22984495
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - constant,Total industrial,5693334,5693334
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - constant,Total institutional and governmental,6874546,6874546
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - constant,Total residential,101270850,101270850
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - constant,Total commercial,22478239,22478239
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - constant,Total industrial,5881562,5881562
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - constant,Total institutional and governmental,6595840,6595840
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - constant,Total residential,104837348,104837348
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - current,Total commercial,21748631,21748631
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - current,Total industrial,5305881,5305881
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - current,Total institutional and governmental,7020537,7020537
2012-05-01,2011-06-01,2012-06-01,Seasonally adjusted - current,Total residential,93653673,93653673
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - current,Total commercial,23053510,23053510
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - current,Total industrial,5710865,5710865
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - current,Total institutional and governmental,6899115,6899115
2012-06-01,2011-07-01,2012-07-01,Seasonally adjusted - current,Total residential,101564634,101564634
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - current,Total commercial,22569788,22569788
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - current,Total industrial,5906486,5906486
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - current,Total institutional and governmental,6626430,6626430
2012-07-01,2011-08-01,2012-08-01,Seasonally adjusted - current,Total residential,105458167,105458167
2012-05-01,2011-06-01,2012-06-01,Unadjusted - constant,Total commercial,20370711,20370711
2012-05-01,2011-06-01,2012-06-01,Unadjusted - constant,Total industrial,5316514,5316514
2012-05-01,2011-06-01,2012-06-01,Unadjusted - constant,Total institutional and governmental,7014366,7014366
2012-05-01,2011-06-01,2012-06-01,Unadjusted - constant,Total residential,108697551,108697551
2012-06-01,2011-07-01,2012-07-01,Unadjusted - constant,Total commercial,21961641,21961641
2012-06-01,2011-07-01,2012-07-01,Unadjusted - constant,Total industrial,5682453,5682453
2012-06-01,2011-07-01,2012-07-01,Unadjusted - constant,Total institutional and governmental,7059864,7059864
2012-06-01,2011-07-01,2012-07-01,Unadjusted - constant,Total residential,128984105,128984105
2012-07-01,2011-08-01,2012-08-01,Unadjusted - constant,Total commercial,22082806,22082806
2012-07-01,2011-08-01,2012-08-01,Unadjusted - constant,Total industrial,5877100,5877100
2012-07-01,2011-08-01,2012-08-01,Unadjusted - constant,Total institutional and governmental,7172091,7172091
2012-07-01,2011-08-01,2012-08-01,Unadjusted - constant,Total residential,126571567,126571567
2012-05-01,2011-06-01,2012-06-01,Unadjusted - current,Total commercial,20329969,20329969
2012-05-01,2011-06-01,2012-06-01,Unadjusted - current,Total industrial,5305881,5305881
2012-05-01,2011-06-01,2012-06-01,Unadjusted - current,Total institutional and governmental,7000337,7000337
2012-05-01,2011-06-01,2012-06-01,Unadjusted - current,Total residential,108269443,108269443
2012-06-01,2011-07-01,2012-07-01,Unadjusted - current,Total commercial,22071449,22071449
2012-06-01,2011-07-01,2012-07-01,Unadjusted - current,Total industrial,5710865,5710865
2012-06-01,2011-07-01,2012-07-01,Unadjusted - current,Total institutional and governmental,7095164,7095164
2012-06-01,2011-07-01,2012-07-01,Unadjusted - current,Total residential,129353945,129353945
2012-07-01,2011-08-01,2012-08-01,Unadjusted - current,Total commercial,22193220,22193220
2012-07-01,2011-08-01,2012-08-01,Unadjusted - current,Total industrial,5906486,5906486
2012-07-01,2011-08-01,2012-08-01,Unadjusted - current,Total institutional and governmental,7207951,7207951
2012-07-01,2011-08-01,2012-08-01,Unadjusted - current,Total residential,127193052,127193052
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - constant,Total commercial,22846238,22846238
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - constant,Total industrial,5672735,5672735
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - constant,Total institutional and governmental,7035440,7035440
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - constant,Total residential,105161872,105161872
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - current,Total commercial,22969847,22969847
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - current,Total industrial,5704194,5704194
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - current,Total institutional and governmental,7076895,7076895
2012-08-01,2011-09-01,2012-09-01,Seasonally adjusted - current,Total residential,105764451,105764451
2012-08-01,2011-09-01,2012-09-01,Unadjusted - constant,Total commercial,22980181,22980181
2012-08-01,2011-09-01,2012-09-01,Unadjusted - constant,Total industrial,5675815,5675815
2012-08-01,2011-09-01,2012-09-01,Unadjusted - constant,Total institutional and governmental,7850154,7850154
2012-08-01,2011-09-01,2012-09-01,Unadjusted - constant,Total residential,116836213,116836213
2012-08-01,2011-09-01,2012-09-01,Unadjusted - current,Total commercial,23095082,23095082
2012-08-01,2011-09-01,2012-09-01,Unadjusted - current,Total industrial,5704194,5704194
2012-08-01,2011-09-01,2012-09-01,Unadjusted - current,Total institutional and governmental,7889404,7889404
2012-08-01,2011-09-01,2012-09-01,Unadjusted - current,Total residential,117329921,117329921
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - constant,Total commercial,23714408,23714408
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - constant,Total industrial,5203941,5203941
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - constant,Total institutional and governmental,7247734,7247734
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - constant,Total residential,106981828,106981828
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - current,Total commercial,23850099,23850099
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - current,Total industrial,5234222,5234222
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - current,Total institutional and governmental,7292008,7292008
2012-09-01,2011-10-01,2012-10-01,Seasonally adjusted - current,Total residential,107670459,107670459
2012-09-01,2011-10-01,2012-10-01,Unadjusted - constant,Total commercial,23782091,23782091
2012-09-01,2011-10-01,2012-10-01,Unadjusted - constant,Total industrial,5208181,5208181
2012-09-01,2011-10-01,2012-10-01,Unadjusted - constant,Total institutional and governmental,7966959,7966959
2012-09-01,2011-10-01,2012-10-01,Unadjusted - constant,Total residential,115838950,115838950
2012-09-01,2011-10-01,2012-10-01,Unadjusted - current,Total commercial,23901002,23901002
2012-09-01,2011-10-01,2012-10-01,Unadjusted - current,Total industrial,5234222,5234222
2012-09-01,2011-10-01,2012-10-01,Unadjusted - current,Total institutional and governmental,8006794,8006794
2012-09-01,2011-10-01,2012-10-01,Unadjusted - current,Total residential,116425266,116425266
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - constant,Total commercial,25319527,25319527
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - constant,Total industrial,5004652,5004652
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - constant,Total institutional and governmental,7255671,7255671
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - constant,Total residential,113239984,113239984
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - current,Total commercial,25498283,25498283
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - current,Total industrial,5040161,5040161
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - current,Total institutional and governmental,7309075,7309075
2012-10-01,2011-11-01,2012-11-01,Seasonally adjusted - current,Total residential,114345890,114345890
2012-10-01,2011-11-01,2012-11-01,Unadjusted - constant,Total commercial,26313722,26313722
2012-10-01,2011-11-01,2012-11-01,Unadjusted - constant,Total industrial,5015085,5015085
2012-10-01,2011-11-01,2012-11-01,Unadjusted - constant,Total institutional and governmental,7719549,7719549
2012-10-01,2011-11-01,2012-11-01,Unadjusted - constant,Total residential,122050360,122050360
2012-10-01,2011-11-01,2012-11-01,Unadjusted - current,Total commercial,26445290,26445290
2012-10-01,2011-11-01,2012-11-01,Unadjusted - current,Total industrial,5040161,5040161
2012-10-01,2011-11-01,2012-11-01,Unadjusted - current,Total institutional and governmental,7758146,7758146
2012-10-01,2011-11-01,2012-11-01,Unadjusted - current,Total residential,123133323,123133323
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - constant,Total commercial,27264615,27264615
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - constant,Total industrial,4834056,4834056
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - constant,Total institutional and governmental,7178424,7178424
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - constant,Total residential,106948835,106948835
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - current,Total commercial,27489536,27489536
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - current,Total industrial,4874871,4874871
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - current,Total institutional and governmental,7240539,7240539
2012-11-01,2011-12-01,2012-12-01,Seasonally adjusted - current,Total residential,108267316,108267316
2012-11-01,2011-12-01,2012-12-01,Unadjusted - constant,Total commercial,28487153,28487153
2012-11-01,2011-12-01,2012-12-01,Unadjusted - constant,Total industrial,4850618,4850618
2012-11-01,2011-12-01,2012-12-01,Unadjusted - constant,Total institutional and governmental,7272672,7272672
2012-11-01,2011-12-01,2012-12-01,Unadjusted - constant,Total residential,103605900,103605900
2012-11-01,2011-12-01,2012-12-01,Unadjusted - current,Total commercial,28629589,28629589
2012-11-01,2011-12-01,2012-12-01,Unadjusted - current,Total industrial,4874871,4874871
2012-11-01,2011-12-01,2012-12-01,Unadjusted - current,Total institutional and governmental,7309036,7309036
2012-11-01,2011-12-01,2012-12-01,Unadjusted - current,Total residential,104641315,104641315
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - constant,Total commercial,19963300,19963300
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - constant,Total industrial,3485883,3485883
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - constant,Total institutional and governmental,6558299,6558299
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - constant,Total residential,52731337,52731337
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - current,Total commercial,20351230,20351230
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - current,Total industrial,3554678,3554678
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - current,Total institutional and governmental,6691574,6691574
2013-12-01,2013-01-01,2014-01-01,Seasonally adjusted - current,Total residential,54233587,54233587
2013-12-01,2013-01-01,2014-01-01,Unadjusted - constant,Total commercial,20807347,20807347
2013-12-01,2013-01-01,2014-01-01,Unadjusted - constant,Total industrial,3484979,3484979
2013-12-01,2013-01-01,2014-01-01,Unadjusted - constant,Total institutional and governmental,6308221,6308221
2013-12-01,2013-01-01,2014-01-01,Unadjusted - constant,Total residential,43168902,43168902
2013-12-01,2013-01-01,2014-01-01,Unadjusted - current,Total commercial,21223494,21223494
2013-12-01,2013-01-01,2014-01-01,Unadjusted - current,Total industrial,3554678,3554678
2013-12-01,2013-01-01,2014-01-01,Unadjusted - current,Total institutional and governmental,6434385,6434385
2013-12-01,2013-01-01,2014-01-01,Unadjusted - current,Total residential,44367152,44367152
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - constant,Total commercial,19233220,19233220
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - constant,Total industrial,3119627,3119627
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - constant,Total institutional and governmental,6624805,6624805
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - constant,Total residential,58839506,58839506
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - current,Total commercial,19642823,19642823
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - current,Total industrial,3185416,3185416
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - current,Total institutional and governmental,6767800,6767800
2014-01-01,2013-02-01,2014-02-01,Seasonally adjusted - current,Total residential,60456074,60456074
2014-01-01,2013-02-01,2014-02-01,Unadjusted - constant,Total commercial,19874887,19874887
2014-01-01,2013-02-01,2014-02-01,Unadjusted - constant,Total industrial,3122957,3122957
2014-01-01,2013-02-01,2014-02-01,Unadjusted - constant,Total institutional and governmental,6281936,6281936
2014-01-01,2013-02-01,2014-02-01,Unadjusted - constant,Total residential,40301316,40301316
2014-01-01,2013-02-01,2014-02-01,Unadjusted - current,Total commercial,20272385,20272385
2014-01-01,2013-02-01,2014-02-01,Unadjusted - current,Total industrial,3185416,3185416
2014-01-01,2013-02-01,2014-02-01,Unadjusted - current,Total institutional and governmental,6407574,6407574
2014-01-01,2013-02-01,2014-02-01,Unadjusted - current,Total residential,41411290,41411290
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - constant,Total commercial,18347108,18347108
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - constant,Total industrial,2810253,2810253
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - constant,Total institutional and governmental,6944292,6944292
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - constant,Total residential,69199551,69199551
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - current,Total commercial,18753286,18753286
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - current,Total industrial,2872005,2872005
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - current,Total institutional and governmental,7099433,7099433
2014-02-01,2013-03-01,2014-03-01,Seasonally adjusted - current,Total residential,71233388,71233388
2014-02-01,2013-03-01,2014-03-01,Unadjusted - constant,Total commercial,18320828,18320828
2014-02-01,2013-03-01,2014-03-01,Unadjusted - constant,Total industrial,2815691,2815691
