_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2013-07-01,2012-08-01,2013-08-01,Seasonally adjusted - constant,Total commercial,28155358,28155358
2013-08-01,2012-09-01,2013-09-01,Seasonally adjusted - constant,Total commercial,26202940,26202940
2013-09-01,2012-10-01,2013-10-01,Seasonally adjusted - constant,Total commercial,23753740,23753740
2013-10-01,2012-11-01,2013-11-01,Seasonally adjusted - constant,Total commercial,22654763,22654763
2013-11-01,2012-12-01,2013-12-01,Seasonally adjusted - constant,Total commercial,21343982,21343982
2014-04-01,2013-05-01,2014-05-01,Seasonally adjusted - constant,Total commercial,17882019,17882019
2014-05-01,2013-06-01,2014-06-01,Seasonally adjusted - constant,Total commercial,18536542,18536542
2014-06-01,2013-07-01,2014-07-01,Seasonally adjusted - constant,Total commercial,18277226,18277226
2014-07-01,2013-08-01,2014-08-01,Seasonally adjusted - constant,Total commercial,17542274,17542274
2014-08-01,2013-09-01,2014-09-01,Seasonally adjusted - constant,Total commercial,16585067,16585067
2014-09-01,2013-10-01,2014-10-01,Seasonally adjusted - constant,Total commercial,18657738,18657738
2015-04-01,2014-05-01,2015-05-01,Seasonally adjusted - constant,Total commercial,16915296,16915296
2015-05-01,2014-06-01,2015-06-01,Seasonally adjusted - constant,Total commercial,17205766,17205766
2015-06-01,2014-07-01,2015-07-01,Seasonally adjusted - constant,Total commercial,17476560,17476560
2015-07-01,2014-08-01,2015-08-01,Seasonally adjusted - constant,Total commercial,18029028,18029028
2016-02-01,2015-03-01,2016-03-01,Seasonally adjusted - constant,Total commercial,17238191,17238191
2016-03-01,2015-04-01,2016-04-01,Seasonally adjusted - constant,Total commercial,17270303,17270303
2016-04-01,2015-05-01,2016-05-01,Seasonally adjusted - constant,Total commercial,15128838,15128838
2016-05-01,2015-06-01,2016-06-01,Seasonally adjusted - constant,Total commercial,13588815,13588815
2016-06-01,2015-07-01,2016-07-01,Seasonally adjusted - constant,Total commercial,13277831,13277831
2016-07-01,2015-08-01,2016-08-01,Seasonally adjusted - constant,Total commercial,13227839,13227839
2016-08-01,2015-09-01,2016-09-01,Seasonally adjusted - constant,Total commercial,13558529,13558529
2016-09-01,2015-10-01,2016-10-01,Seasonally adjusted - constant,Total commercial,13469087,13469087
2016-10-01,2015-11-01,2016-11-01,Seasonally adjusted - constant,Total commercial,12675984,12675984
2016-11-01,2015-12-01,2016-12-01,Seasonally adjusted - constant,Total commercial,13156186,13156186
2016-12-01,2016-01-01,2017-01-01,Seasonally adjusted - constant,Total commercial,13617168,13617168
2017-01-01,2016-02-01,2017-02-01,Seasonally adjusted - constant,Total commercial,14819990,14819990
2017-02-01,2016-03-01,2017-03-01,Seasonally adjusted - constant,Total commercial,15624420,15624420
2017-03-01,2016-04-01,2017-04-01,Seasonally adjusted - constant,Total commercial,16469238,16469238
2017-04-01,2016-05-01,2017-05-01,Seasonally adjusted - constant,Total commercial,18606789,18606789
2017-05-01,2016-06-01,2017-06-01,Seasonally adjusted - constant,Total commercial,20637496,20637496
2017-06-01,2016-07-01,2017-07-01,Seasonally adjusted - constant,Total commercial,22526082,22526082
2017-07-01,2016-08-01,2017-08-01,Seasonally adjusted - constant,Total commercial,22164618,22164618
2017-08-01,2016-09-01,2017-09-01,Seasonally adjusted - constant,Total commercial,21232978,21232978
2018-01-01,2017-02-01,2018-02-01,Seasonally adjusted - constant,Total commercial,24013760,24013760
2018-02-01,2017-03-01,2018-03-01,Seasonally adjusted - constant,Total commercial,24496519,24496519
2018-03-01,2017-04-01,2018-04-01,Seasonally adjusted - constant,Total commercial,24610689,24610689
2019-01-01,2018-02-01,2019-02-01,Seasonally adjusted - constant,Total commercial,20063715,20063715
2019-02-01,2018-03-01,2019-03-01,Seasonally adjusted - constant,Total commercial,19371944,19371944
2019-03-01,2018-04-01,2019-04-01,Seasonally adjusted - constant,Total commercial,18129519,18129519
2019-04-01,2018-05-01,2019-05-01,Seasonally adjusted - constant,Total commercial,17471675,17471675
2019-05-01,2018-06-01,2019-06-01,Seasonally adjusted - constant,Total commercial,17604174,17604174
2019-06-01,2018-07-01,2019-07-01,Seasonally adjusted - constant,Total commercial,19387629,19387629
2019-07-01,2018-08-01,2019-08-01,Seasonally adjusted - constant,Total commercial,20322931,20322931
2019-08-01,2018-09-01,2019-09-01,Seasonally adjusted - constant,Total commercial,20035619,20035619
2019-09-01,2018-10-01,2019-10-01,Seasonally adjusted - constant,Total commercial,20752125,20752125
2019-10-01,2018-11-01,2019-11-01,Seasonally adjusted - constant,Total commercial,21785792,21785792
2020-02-01,2019-03-01,2020-03-01,Seasonally adjusted - constant,Total commercial,21463039,21463039
2020-03-01,2019-04-01,2020-04-01,Seasonally adjusted - constant,Total commercial,23072722,23072722
2020-04-01,2019-05-01,2020-05-01,Seasonally adjusted - constant,Total commercial,23171085,23171085
