_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Bayers Lake,,,
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Bedford,,,
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Burnside,12.01,12.01,0.142
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Halifax,13.39,13.39,0.083
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Ragged Lake Business Park,,,
Q1 2015,0,2015-10-01,2015-01-01,2016-01-01,Sackville,,,
Q2 2015,1,2016-01-01,2015-04-01,2016-04-01,HRM,12.18,12.18,0.139
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Atlantic Acres Industrial Park,,,
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Bayers Lake,,,
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Bedford,,,
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Burnside,12.05,12.05,0.139
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Halifax,13.39,13.39,0.083
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Ragged Lake Business Park,,,
Q2 2015,0,2016-01-01,2015-04-01,2016-04-01,Sackville,,,
Q3 2015,1,2016-04-01,2015-07-01,2016-07-01,HRM,12.18,12.18,0.136
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Atlantic Acres Industrial Park,,,
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Bayers Lake,,,
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Bedford,,,
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Burnside,12.05,12.05,0.138
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Halifax,13.39,13.39,0.07
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Ragged Lake Business Park,,,
Q3 2015,0,2016-04-01,2015-07-01,2016-07-01,Sackville,,,
Q4 2015,1,2016-07-01,2015-10-01,2016-10-01,HRM,12.21,12.21,0.129
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Atlantic Acres Industrial Park,,,
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Bayers Lake,,,0.229
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Bedford,,,
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Burnside,12.07,12.07,0.13
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Halifax,13.57,13.57,0.075
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Ragged Lake Business Park,,,
Q4 2015,0,2016-07-01,2015-10-01,2016-10-01,Sackville,,,
Q1 2016,1,2016-10-01,2016-01-01,2017-01-01,HRM,12.27,12.27,0.137
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Atlantic Acres Industrial Park,,,
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Bayers Lake,,,0.466
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Bedford,,,
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Burnside,12.17,12.17,0.131
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Halifax,13.38,13.38,0.093
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Ragged Lake Business Park,,,
Q1 2016,0,2016-10-01,2016-01-01,2017-01-01,Sackville,,,
Q2 2016,1,2017-01-01,2016-04-01,2017-04-01,HRM,12.29,12.29,0.14
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Atlantic Acres Industrial Park,,,
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Bayers Lake,,,0.469
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Bedford,,,
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Burnside,12.18,12.18,0.133
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Halifax,13.5,13.5,0.107
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Ragged Lake Business Park,,,
Q2 2016,0,2017-01-01,2016-04-01,2017-04-01,Sackville,,,
Q3 2016,1,2017-04-01,2016-07-01,2017-07-01,HRM,12.28,12.28,0.137
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Atlantic Acres Industrial Park,,,
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Bayers Lake,,,0.436
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Bedford,,,
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Burnside,12.17,12.17,0.131
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Halifax,13.5,13.5,0.107
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Ragged Lake Business Park,,,
Q3 2016,0,2017-04-01,2016-07-01,2017-07-01,Sackville,,,
